,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,pressure,temperature,lat,lon,alt,vel_n_m_s,vel_e_m_s,vel_d_m_s,mag_x,mag_y,mag_z
14,-0.002130529,-0.0058589545,-0.0031957934,0.15083471,0.055066638,-9.720459,956.0236,11.832275,473977508,85456072,488173,-0.01,-0.01,-0.049999997,0.0036994587,-0.21681269,0.43246323
15,-0.0058589545,0.0026631611,0.0053263223,0.110133275,0.021547815,-9.706094,956.035,11.832275,473977508,85456073,488168,-0.01,0.0,0.0,0.007832103,-0.22112852,0.4270057
16,0.0015978967,0.004261058,0.0026631611,0.10055647,-0.019153614,-9.809045,956.035,11.832275,473977508,85456073,488166,0.02,0.0,-0.03,0.010500045,-0.21801154,0.42944342
17,0.0005326322,0.0010652645,0.0026631611,0.1340753,-0.01436521,-9.679757,956.01746,11.832275,473977508,85456073,488174,0.0,0.0,-0.03,0.0053549334,-0.21629539,0.42250434
18,0.0,0.0,-0.002130529,0.08379706,-0.05746084,-9.768343,956.0456,11.832275,473977508,85456073,488168,0.0,0.0,-0.01,0.009370683,-0.21870832,0.42687845
19,-0.002130529,0.0015978967,-0.0005326322,0.18914193,0.05267244,-9.818622,956.0208,11.832275,473977508,85456073,488176,0.02,0.01,0.0,0.002209769,-0.21897703,0.4292789
20,-0.002130529,-0.0026631611,-0.00479369,0.05267244,-0.045489833,-9.710882,956.0371,11.832275,473977508,85456072,488173,0.01,0.02,-0.01,0.006546787,-0.21081987,0.42615193
21,-0.0010652645,-0.0026631611,0.0010652645,0.1412579,-0.031124622,-9.797073,956.02747,11.832275,473977508,85456073,488163,0.0,-0.01,0.03,0.0066683353,-0.21432602,0.4311337
22,-0.004261058,0.0005326322,0.0037284256,0.079008654,0.021547815,-9.794679,956.03754,11.832275,473977508,85456072,488174,0.0,-0.01,-0.02,0.006966125,-0.21358573,0.42786837
23,0.0005326322,0.0015978967,0.0026631611,0.06703765,-0.095768064,-9.830592,956.01575,11.832275,473977508,85456073,488173,0.0,0.0,0.04,0.011881739,-0.21690105,0.4397437
24,0.0053263223,-0.002130529,0.0,0.23223756,0.023942016,-9.715671,956.0267,11.832275,473977509,85456072,488160,0.0,0.02,0.01,0.009727782,-0.21733598,0.42811355
25,0.0026631611,-0.0005326322,-0.0015978967,0.08619126,-0.04309563,-9.840169,956.0267,11.832275,473977508,85456073,488175,0.0,0.0,-0.04,0.01005829,-0.21322758,0.42808238
26,-0.0026631611,-0.004261058,-0.0026631611,0.15322891,-0.076614454,-9.660604,956.0405,11.832275,473977508,85456073,488168,0.0,0.0,0.01,0.006226114,-0.2141745,0.42494893
27,-0.0005326322,0.0010652645,-0.007456851,0.1412579,-0.04309563,-9.734824,956.0342,11.832275,473977508,85456073,488177,0.0,0.01,0.06,0.00894941,-0.2162238,0.4289856
28,0.0,-0.0031957934,0.007456851,0.019153614,-0.04070143,-9.715671,956.01373,11.832275,473977508,85456073,488170,0.0,0.01,0.02,0.01133499,-0.21200714,0.42348683
29,-0.0015978967,0.0026631611,0.0,0.10295067,0.0047884034,-9.818622,956.0077,11.832275,473977508,85456073,488161,-0.01,0.0,-0.04,0.0006894482,-0.21592787,0.43019515
30,-0.00479369,0.0,0.0031957934,0.035913024,-0.02633622,-9.7803135,956.03613,11.832275,473977508,85456073,488157,0.02,-0.01,0.01,0.006050765,-0.21099545,0.4281643
31,0.0,-0.0026631611,-0.0037284256,0.076614454,-0.076614454,-9.797073,956.03613,11.832275,473977508,85456073,488164,0.01,0.0,0.01,0.0027629137,-0.21329889,0.42779726
32,-0.0058589545,0.0015978967,-0.0015978967,0.038307227,-0.02873042,-9.7324295,956.0302,11.832275,473977508,85456073,488169,0.0,0.01,0.03,0.013143989,-0.21249624,0.43997025
33,-0.0026631611,0.0010652645,-0.0010652645,0.02873042,-0.074220255,-9.797073,956.0437,11.832275,473977508,85456072,488170,0.0,0.0,0.03,0.007921037,-0.21983173,0.43269345
34,-0.0010652645,0.007989483,0.0005326322,0.06464344,-0.050278235,-9.646238,956.0437,11.832275,473977508,85456073,488168,0.0,0.0,0.0,0.0071182717,-0.21332629,0.42587307
35,0.0015978967,-0.0058589545,-0.0026631611,0.1364695,-0.023942016,-9.694122,956.03973,11.832275,473977508,85456073,488182,0.0,-0.01,-0.07,0.0061883046,-0.21543752,0.43039274
36,-0.0037284256,0.0063915867,-0.0031957934,0.059855044,0.01436521,-9.7324295,956.03613,11.832275,473977508,85456073,488176,-0.01,0.0,-0.01,0.0064115287,-0.21500665,0.4282415
37,-0.004261058,-0.0010652645,0.0026631611,0.016759412,0.035913024,-9.655815,956.03613,11.832275,473977508,85456073,488165,-0.01,0.0,-0.03,0.0019796959,-0.21626759,0.42624903
38,0.0010652645,-0.007989483,-0.008522116,0.007182605,-0.047884032,-9.758766,956.0269,11.832275,473977508,85456073,488180,-0.01,0.0,0.0,0.0057552494,-0.22221117,0.43127197
